node_id,lon,lat
0,12.506,41.875
1,12.47,41.904
2,12.471,41.881
3,0.147,49.516
4,7.376,48.092
5,4.352,48.964
6,30.386,38.056
7,4.33,52.201
8,15.632,44.134
9,35.481,38.729
10,39.045,39.601
11,26.099,40.728
12,29.956,40.757
13,19.404,40.546
14,19.452,41.315
15,24.914,41.128
16,-0.348,46.071
17,15.887,41.618
18,16.66,40.228
19,15.24,44.121
20,15.861,43.793
21,14.37,40.948
22,14.253,41.216
23,30.764,40.251
24,32.053,41.551
25,35.092,42.003
26,35.072,41.902
27,37.024,34.052
28,32.318,34.897
29,30.718,37.484
30,36.736,34.044
31,12.433,37.799
32,28.205,39.991
33,36.373,33.14
34,32.582,31.044
35,35.233,31.794
36,4.762,46.126
37,4.898,45.502
38,28.252,39.991
39,3.478,43.314
40,10.989,45.444
41,10.51,35.999
42,9.07,45.792
43,8.842,44.899
44,36.104,32.129
45,39.632,40.413
46,40.053,39.991
47,41.39,39.961
48,35.461,41.147
49,34.04,40.036
50,37.871,40.001
51,32.087,37.849
52,36.315,35.835
53,33.238,35.026
54,32.885,24.864
55,38.73,40.003
56,27.371,36.689
57,30.326,37.317
58,36.195,34.026
59,32.673,26.122
60,28.265,40.005
61,26.385,40.915
62,26.086,40.724
63,26.272,40.942
64,24.957,35.059
65,37.035,39.752
66,30.611,39.383
67,28.634,39.59
68,29.627,39.196
69,-9.158,38.682
70,-2.939,35.268
71,-0.442,51.698
72,-1.112,51.451
73,-2.446,53.275
74,-2.656,51.491
75,-3.684,50.498
76,-3.593,53.271
77,-3.94,56.196
78,-3.874,56.251
79,-3.931,56.119
80,-4.083,55.835
81,-2.948,55.024
82,-3.529,54.479
83,-1.823,53.925
84,-2.28,52.568
85,0.61,52.09
86,-3.619,51.497
87,-3.066,55.934
88,27.197,38.24
89,27.327,37.941
90,9.527,34.088
91,-2.521,54.985
92,-2.473,51.755
93,9.154,34.137
94,7.984,35.677
95,10.8,35.755
96,35.444,30.365
97,30.874,27.811
98,36.821,31.86
99,10.022,34.072
100,6.573,36.025
101,7.676,36.014
102,-5.978,35.592
103,0.995,35.993
104,0.189,36.01
105,3.913,36.911
106,37.144,36.432
107,36.66,37.11
108,12.569,41.927
109,12.523,41.888
110,13.173,41.883
111,13.175,41.997
112,12.759,42.039
113,5.527,49.556
114,5.958,49.475
115,2.998,47.287
116,-8.168,37.864
117,8.275,34.027
118,4.607,36.126
119,5.424,36.153
120,38.125,39.387
121,22.409,39.631
122,32.819,39.68
123,21.003,39.71
124,10.397,35.99
125,9.871,36.526
126,-4.246,42.439
127,12.485,41.954
128,12.321,42.039
129,12.206,42.039
130,12.296,41.755
131,12.083,42.039
132,13.125,41.452
133,12.684,41.951
134,12.761,41.454
135,12.602,41.86
136,12.577,41.991
137,12.494,41.91
138,12.044,42.005
139,12.098,41.997
140,12.632,41.784
141,17.987,40.138
142,17.999,40.048
143,15.863,39.605
144,12.759,41.919
145,12.731,41.891
146,13.15,41.885
147,12.803,41.96
148,12.954,41.586
149,12.624,41.996
150,12.563,41.618
151,12.624,41.557
152,2.254,49.612
